Grapheme	IPA
liú_	l j ɔu ³⁵ +
liǔ_	l j ɔu ²¹⁴ +
liù_	l j ɔu ⁵¹ +
lī_	l i ⁵⁵ +
lí_	l i ³⁵ +
lǐ_	l i ²¹⁴ +
lì_	l i ⁵¹ +
līn_	l i n ⁵⁵ +
lín_	l i n ³⁵ +
lǐn_	l i n ²¹⁴ +
lìn_	l i n ⁵¹ +
līng_	l i ŋ ⁵⁵ +
líng_	l i ŋ ³⁵ +
lǐng_	l i ŋ ²¹⁴ +
lìng_	l i ŋ ⁵¹ +
lōng_	l ʊ ŋ ⁵⁵ +
lóng_	l ʊ ŋ ³⁵ +
lǒng_	l ʊ ŋ ²¹⁴ +
lòng_	l ʊ ŋ ⁵¹ +
lōu_	l ɔu ⁵⁵ +
lóu_	l ɔu ³⁵ +
lǒu_	l ɔu ²¹⁴ +
lòu_	l ɔu ⁵¹ +
lu_	l u ⁰ +
luān_	l w a n ⁵⁵ +
luán_	l w a n ³⁵ +
luǎn_	l w a n ²¹⁴ +
luàn_	l w a n ⁵¹ +
luō_	l w ɔ ⁵⁵ +
luó_	l w ɔ ³⁵ +
luǒ_	l w ɔ ²¹⁴ +
luò_	l w ɔ ⁵¹ +
lū_	l u ⁵⁵ +
lú_	l u ³⁵ +
lǔ_	l u ²¹⁴ +
lù_	l u ⁵¹ +
lūn_	l ʊ n ⁵⁵ +
lún_	l ʊ n ³⁵ +
lǔn_	l ʊ n ²¹⁴ +
lùn_	l ʊ n ⁵¹ +
mao_	m au ⁰ +
mā_	m a ⁵⁵ +
má_	m a ³⁵ +
mǎ_	m a ²¹⁴ +
mà_	m a ⁵¹ +
māi_	m ai ⁵⁵ +
mái_	m ai ³⁵ +
mǎi_	m ai ²¹⁴ +
mài_	m ai ⁵¹ +
mān_	m a n ⁵⁵ +
mán_	m a n ³⁵ +
mǎn_	m a n ²¹⁴ +
màn_	m a n ⁵¹ +
māng_	m a ŋ ⁵⁵ +
máng_	m a ŋ ³⁵ +
mǎng_	m a ŋ ²¹⁴ +
màng_	m a ŋ ⁵¹ +
māo_	m au ⁵⁵ +
máo_	m au ³⁵ +
mǎo_	m au ²¹⁴ +
mào_	m au ⁵¹ +
mei_	m əi ⁰ +
men_	m ə n ⁰ +
mēi_	m əi ⁵⁵ +
